Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Service,Receiver points won,Receiver,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,8,2025/6/12,1,1,Quebec,Canada,Canada,Germany,3,2,23,25,21,25,15,25,19,25,23,11,4,11,24,14,24,17,12,2,3,-,12,5,12,29,2,5,4,11,3,4,18,25,5,2,11,18,10,3,17,8,0,21,29
Men,8,2025/6/12,1,1,Quebec,Canada,Canada,Germany,3,2,23,25,21,25,15,25,19,25,23,11,5,5,15,10,11,10,8,1,1,-,8,1,7,16,1,3,2,6,1,3,11,15,4,0,3,7,4,2,9,5,0,10,15
Men,9,2025/6/12,2,1,Rio de Janeiro,Brazil,Slovenia,Cuba,3,1,25,21,25,25,-,22,25,18,15,-,ALL,44,95,52,81,68,51,12,5,-,51,17,30,98,12,13,7,32,5,15,75,95,13,3,50,66,32,12,63,24,0,75,99
Men,9,2025/6/12,2,1,Rio de Janeiro,Brazil,Slovenia,Cuba,3,1,25,21,25,25,-,22,25,18,15,-,1,12,25,13,22,19,18,1,0,-,18,4,10,32,1,3,2,6,0,4,20,24,4,1,15,20,13,3,19,3,0,30,33
Men,9,2025/6/12,2,1,Rio de Janeiro,Brazil,Slovenia,Cuba,3,1,25,21,25,25,-,22,25,18,15,-,2,7,21,14,25,16,12,4,0,-,12,4,9,25,4,5,1,10,0,4,18,22,4,2,15,21,5,6,16,6,0,20,26
Men,9,2025/6/12,2,1,Rio de Janeiro,Brazil,Slovenia,Cuba,3,1,25,21,25,25,-,22,25,18,15,-,3,12,25,13,18,16,12,3,1,-,12,3,6,21,3,4,1,8,1,3,20,24,2,0,12,14,7,1,14,7,0,14,21
Men,9,2025/6/12,2,1,Rio de Janeiro,Brazil,Slovenia,Cuba,3,1,25,21,25,25,-,22,25,18,15,-,4,13,24,12,16,17,9,4,4,-,9,6,5,20,4,1,3,8,4,4,17,25,3,0,8,11,7,2,14,8,0,11,19
Men,9,2025/6/12,2,1,Rio de Janeiro,Brazil,Cuba,Slovenia,1,3,22,25,18,15,-,25,21,25,25,-,ALL,29,81,51,95,59,44,12,3,-,44,23,37,104,12,24,12,48,3,15,63,81,13,5,62,80,21,14,49,16,0,77,93
Men,9,2025/6/12,2,1,Rio de Janeiro,Brazil,Cuba,Slovenia,1,3,22,25,18,15,-,25,21,25,25,-,1,9,22,13,25,18,13,4,1,-,13,4,11,28,4,10,6,20,1,3,19,23,4,0,16,20,4,5,13,2,0,21,23
Men,9,2025/6/12,2,1,Rio de Janeiro,Brazil,Cuba,Slovenia,1,3,22,25,18,15,-,25,21,25,25,-,2,11,25,14,21,17,14,1,2,-,14,6,5,25,1,7,3,11,2,3,19,24,3,0,15,18,5,3,14,6,0,16,22
